Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
CLOUDISH-III Software simulador para análise de viabilidade de SLOs em computação em nuvem.																																																				
CloudStack Software embarcado para integração de recursos em computação em nuvem.																																																				
Code Security and Quality platform  - CodeSQ Desenvolvimento de um sistema Web que permita a agregação e visualização de dados produzidos por diversas ferramentas de análise de qualidade de código para garantir segurança e qualidade no processo de desenvolvimento de produtos de software.																																																				
CoherentSiE Pesquisa e desenvolvimento de uma solução para sistemas coerentes ópticas	com foco em promover o desenvolvimento de novas plataformas de hardware	seus sistemas e componentes para a evolução das tecnologias de 5G.																																																		
Coleta avançada de dados de telemetria de sistemas para a identificação e caracterização de fluxos de trabalho O projeto se refere à pesquisa e desenvolvimento de uma solução de software baseada em tecnologias de big data combinadas para realizar a coleta de grandes quantidades de dados de telemetria de forma adequada e que possibilitem seu uso na identificação e caracterização de fluxos de trabalho.																																																				
Confidential Identity Provisioning A crescente migração de aplicações para ambientes públicos ou híbridos de nuvem aumenta a probabilidade de vazamento de informações	seja através de ataques ou de problemas de configuração. Abordagens de confiança zero mitigam estes potenciais problemas	mas exigem mecanismos de provimento de identidade que sejam robustos. O objetivo do projeto é investigar o uso de mecanismos de computação confidencial para a atestação da integridade de máquinas e aplicações. Esta atestação servirá então para o provisionamento de identidades robustas para componentes de software usando o padrão SPIFFE.																																																		
Container Secure Measurement and Attestation - CSMA As principais tecnologias de contêiner se concentram em verificações estáticas	que são muito mais relacionadas a aspectos estruturais do contêiner do que a monitorar as aplicações e outros executáveis que rodam nestes. Encontramos	por exemplo	soluções para garantir a integridade das imagens usadas e para verificar o uso adequado dos recursos requisitados	entretanto	pouco são os mecanismos para monitorar as aplicações executadas	permitindo que ações maliciosas sejam realizadas	explorando ou gerando vulnerabilidades no ambiente durante a sua operação. Considerando esses aspectos	mecanismos que permitam a atestação de contêineres são soluções extremamente úteis por permitir a verificação do ambiente de execução do contêiner contra uma referência confiável.																																												
Controle remoto de carregamento de baterias Programação	controle e monitoramento remoto de banco de carregamento de baterias para demonstração em ambiente relevante																																																			
COPMES (Modelos para Agentes Inteligentes para Compra de Órteses	Próteses e Materiais Especiais) O objetivo do projeto é investigar	conceber	implementar e avaliar uma abordagem baseada em Agentes Inteligentes para compra de órteses	próteses e outros materiais hospitalares especiais.																																																
COR Sistema multiplataforma de acompanhamento de predição de consumo de energia elétrica.																																																				
CORC Sistemas de gerência de contêineres de computação em nuvem.																																																				
COUPONS Plataforma de software embarcado para o gerenciamento de cupons para clientes.																																																				
Cubee Software Software embarcado para integração com redes sociais de dispositivos de IoT.																																																				
DAAS Analytics 2018 Software para análise de dados de periféricos (e.g.	Bateria e CPU) de dispositivos computacionais.																																																			
DARK STORES Desenvolvimento de uma plataforma digital integrada para que lojistas	fabricantes	varejistas	entre outros possam utilizar uma rede de imóveis (dark stores) para facilitar a entrega de seus produtos para o cliente final. Para isso	a solução se baseará em técnicas de desenvolvimento Web e envolverá o desenvolvimento de heurísticas para rankeamento de dark stores e técnicas de ciência e visualização de dados.																																																
Datacenter Analytics Software para análise de dados de consumo energético e de dissipação térmica em datacenters.																																																				
DATACENTER SIMULATOR EMBRAPII Software de simulação de datacenter.																																																				
DESENVOLVIMENTO DE HARDWARE DE AQUISIÇÃO PARA AUTOMAÇÃO NO REGISTRO E ENVIO DE INFORMAÇÕES DE ARRAÇOAMENTOS O projeto tem como objetivo o desenvolvimento de protótipos de hardware para automação no registro e envio de informações de arraçoamentos (alimentadores) originados de conexão com balanças de pesagens.																																																				
Device Discovery Desenvolver um sistema de reconhecimento automático de dispositivos de rede em ambientes Linux.																																																				
DevTelium Software embarcado de referência para plataformas T+ e Telium Tetra.																																																				
DIRKOO Plataforma de serviços para suporte à tomada de decisão em Indústria 4.0.																																																				
Dispositivo flexível para monitoramento de plantas industriais Este projeto tem como objetivo mitigar as deficiências de comunicação de dispositivos de monitoramento e atuação legados através do projeto e desenvolvimento de um dispositivo de coleta de dados baseado em tecnologias de Internet das Coisas (IoT). Este dispositivo de instalação e operação simples deverá permitir a integração flexível de diferentes tipos de sensores para diferentes medições (vazão	vibração	consumo	temperatura	contagem	etc.) e diferentes granularidades de medição. A integração com dispositivos legados deve ser compatível com interfaces como RS485	RS232	saída de pulsos	entre outras	e deve ser capaz de enviar os dados medidos usando diferentes mecanismos de comunicação (LoraWan	NBIoT	Ethernet	Wifi	etc.). O desenvolvimento dispositivo será acompanhado do desenvolvimento de componentes de software para integração com sistemas em execução na nuvem.																																							
DistributedSecAccess Desenvolvimento de um sistema seguro de gestão de chaves e controle de acesso distribuído para equipamentos de acesso remoto.																																																				
Document Analyzer Pesquisa e desenvolvimento de uma solução inteligente para reconhecimento de tipos de documentos e recomendação de serviços de análise de conteúdo	através de tecnologias de Computação em Nuvem	Inteligência Artificial e Aprendizagem de Máquina.																																																		
Dr. Manhattan Metodologia e arquitetura de testes automatizados para dispositivos de eletrônica de consumo.																																																				
Dreadbot Plataforma de software para Perfil C do Ginga TVD.																																																				
DRIVER GO ANALYTICS Plataforma de análise de dados sobre o comportamento de passageiros e motoristas em aplicativo de transportes.																																																				
Driver para coleta de dados em portas USB-C no Windows Driver embarcado para portas USB do tipo C no sistema operacional Windows com a finalidade de coletar e disponibilizar mais dados sobre os diapositivos conectados na porta	que podem ser utilizados inclusive em aplicações de big data.																																																			
Drop Cable Test Jig Pesquisa e desenvolvimento de uma solução de hardware para automação e monitoramento de ensaios em cabos de fibra óptica do tipo drop	através de tecnologias de Automação e Robótica e Internet das Coisas.																																																			
E-FINANCE Plataforma de software em nuvem para BI baseada em dados financeiros .																																																				
EasyHealthConnector Pesquisa e desenvolvimento de uma arquitetura de sistema dinâmico para interoperabilidade entre sistemas de saúde																																																				
EASYMIUI Ferramenta para a construção de temas para plataforma embarcada MIUI.																																																				
Embedded-PDS Pesquisa e desenvolvimento de uma solução de sistemas embarcados para comunicações ópticas coerentes.																																																				
Embedded-SOC Pesquisa e desenvolvimento de uma solução para sistemas coerentes ópticas.																																																				
Endostreamer Solução integrada de software e hardware para equipamento de preceptoria e suporte ao treinamento de profissionais de saúde.																																																				
ENERGY TRACKER Ferramentas para o acompanhamento do consumo de energia  de uma unidade consumidora																																																				
ENGAGEMENT MANAGER Plataforma de software para gerenciamento de campanhas de marketing digital.																																																				
EPSON - Reco-Sync - 24ACD Pesquisa e desenvolvimento de uma solução inteligente para realizar a mineração de dados de documentos-alvo	tendo como base tecnologias de Computação em Nuvem	Data Analytics e Inteligência Artificial.																																																		
eReceipt Pesquisa e Desenvolvimento de uma prova de conceito de um sistema de software para gestão de Recibos Eletrônicos.																																																				
ETL Fiscal Desenvolvimento de solução tecnológica para viabilizar a gestão de dados fiscais e/ou contábeis de modo a realizar o cumprimento das obrigações acessórias tributárias de forma eficiente.																																																				
Execução de testes através de Dispositivos Móveis e Controle das Informações Geradas Solução de software para testes de terminais de pagamento.																																																				
ExtendedControl Investigação de soluções para o controle e transmissão de informações entre veículos não tripulados e dispositivos de realidade aumentada ou virtual.																																																				
ExtendedTouch Solução integrada de hardware e software para permitir extensão de tela de toque para dispositivos vestíveis.																																																				
FairShare VTEX Desenvolver protótipos de componentes para coleta de uso de recursos	tráfego e dados de busca de uma plataforma de comércio eletrônico.																																																			
FANTASTIC Fingerprint Enhancement And False Minutiae Detection O projeto se propõe a pesquisar e desenvolver metodologias para detecção de falsas minúcias e melhoria da qualidade de impressões digitais.																																																				
FINMAN Plataforma de software para gerenciamento de aplicativos financeiros para pagamento móvel.																																																				
FISCALWEB Sistema de inteligência fiscal.																																																				
